1001,6_t1_mprage_sag_iso_1mm,11_resting_state,13_resting_state_ref_PA,
1002,6_t1_mprage_sag_iso_1mm,11_resting_state,13_resting_state_ref_PA,
1003,6_t1_mprage_sag_iso_1mm,11_resting_state,13_resting_state_ref_PA,
1004,6_t1_mprage_sag_iso_1mm,11_resting_state,13_resting_state_ref_PA,
1005,6_t1_mprage_sag_iso_1mm,13_resting_state,15_resting_state_ref_PA,
1006,6_t1_mprage_sag_iso_1mm,11_resting_state,13_resting_state_ref_PA,
1007,6_t1_mprage_sag_iso_1mm,12_resting_state,14_resting_state_ref_PA,
1008,6_t1_mprage_sag_iso_1mm,11_resting_state,13_resting_state_ref_PA,
1009,6_t1_mprage_sag_iso_1mm,13_resting_state,17_resting_state_ref_PA,11_BOLDmovie
1010,6_t1_mprage_sag_iso_1mm,15_resting_state,17_resting_state_ref_PA,13_BOLDmovie
1011,6_t1_mprage_sag_iso_1mm,13_resting_state,15_resting_state_ref_PA,11_BOLDmovie
1012,6_t1_mprage_sag_iso_1mm,13_resting_state,15_resting_state_ref_PA,11_BOLDmovie
1013,6_t1_mprage_sag_iso_1mm,13_resting_state,15_resting_state_ref_PA,11_BOLDmovie
1014,6_t1_mprage_sag_iso_1mm,14_resting_state,16_resting_state_ref_PA,12_BOLDmovie
1015,6_t1_mprage_sag_iso_1mm,13_resting_state,15_resting_state_ref_PA,11_BOLDmovie
1016,6_t1_mprage_sag_iso_1mm,13_resting_state,15_resting_state_ref_PA,11_BOLDmovie
1017,6_t1_mprage_sag_iso_1mm,13_resting_state,15_resting_state_ref_PA,11_BOLDmovie
1018,6_t1_mprage_sag_iso_1mm,13_resting_state,15_resting_state_ref_PA,11_BOLDmovie
1019,6_t1_mprage_sag_iso_1mm,13_resting_state,15_resting_state_ref_PA,11_BOLDmovie
1020,6_t1_mprage_sag_iso_1mm,13_resting_state,15_resting_state_ref_PA,11_BOLDmovie
1021,6_t1_mprage_sag_iso_1mm,13_resting_state,15_resting_state_ref_PA,11_BOLDmovie
1022,6_t1_mprage_sag_iso_1mm,13_resting_state,15_resting_state_ref_PA,11_BOLDmovie
1023,6_t1_mprage_sag_iso_1mm,17_resting_state,19_resting_state_ref_PA,15_BOLDmovie
1024,6_t1_mprage_sag_iso_1mm,13_resting_state,15_resting_state_ref_PA,11_BOLDmovie
1025,6_t1_mprage_sag_iso_1mm,13_resting_state,15_resting_state_ref_PA,11_BOLDmovie
1026,6_t1_mprage_sag_iso_1mm,13_resting_state,15_resting_state_ref_PA,11_BOLDmovie
1027,6_t1_mprage_sag_iso_1mm,13_resting_state,15_resting_state_ref_PA,11_BOLDmovie
1028,6_t1_mprage_sag_iso_1mm,11_resting_state,13_resting_state_ref_PA,
1029,6_t1_mprage_sag_iso_1mm,13_resting_state,15_resting_state_ref_PA,11_BOLDmovie
1030,6_t1_mprage_sag_iso_1mm,13_resting_state,15_resting_state_ref_PA,11_BOLDmovie
1032,6_t1_mprage_sag_iso_1mm,15_resting_state,17_resting_state_ref_PA,13_BOLDmovie
1033,6_t1_mprage_sag_iso_1mm,15_resting_state,17_resting_state_ref_PA,13_BOLDmovie
1034,6_t1_mprage_sag_iso_1mm,13_resting_state,15_resting_state_ref_PA,11_BOLDmovie
1035,6_t1_mprage_sag_iso_1mm,13_resting_state,15_resting_state_ref_PA,11_BOLDmovie
1037,6_t1_mprage_sag_iso_1mm,15_resting_state,17_resting_state_ref_PA,
1038,6_t1_mprage_sag_iso_1mm,13_resting_state,15_resting_state_ref_PA,11_BOLDmovie
1039,6_t1_mprage_sag_iso_1mm,13_resting_state,15_resting_state_ref_PA,11_BOLDmovie
1040,6_t1_mprage_sag_iso_1mm,15_resting_state,17_resting_state_ref_PA,13_BOLDmovie
1041,6_t1_mprage_sag_iso_1mm,13_resting_state,15_resting_state_ref_PA,11_BOLDmovie
